"","train","X","Y","Green8_5","Red8_5","Red.Edge8_5","NIR8_5","NDVI8_5","DSM8_5","StdVegHeight8_5","Green7_12","Red7_12","Red.Edge7_12","NIR7_12","NDVI7_12","DSM7_12","StdVegHeight7_12"
"55",1,306866.8927,4994514.2839,0.0972669,0.071192,0.2404215,0.2981887,0.654497,179.2075653,0.0002435,0.1163001,0.1027151,0.2823433,0.3553502,0.654497,179.2075653,0.0132836
"56",2,306927.1126,4994543.7049,0.0786884,0.0872462,0.1230969,0.1579527,0.3434781,179.2328796,0.0146043,0.0744007,0.092464,0.1208863,0.153639,0.3434781,179.2328796,0.0023763
"57",4,306889.519,4994552.5083,0.0632303,0.0344085,0.2229773,0.3728814,0.84324,180.539093,0.0367409,0.0731231,0.0386512,0.2193501,0.3334496,0.84324,180.539093,0.0453912
"58",3,306910.4382,4994495.3497,0.033293,0.024667,0.0448146,0.058562,0.3672875,178.9538116,0.0021235,0.0201092,0.0095012,0.0162654,0.0199293,0.3672875,178.9538116,0.0055441
"59",2,306859.2368,4994430.3573,0.0739338,0.0628211,0.132409,0.1696749,0.4629866,178.9690094,0.0048004,0.0167771,0.0065988,0.0169151,0.0208614,0.4629866,178.9690094,0.0005405
"60",1,306901.2059,4994515.5752,0.0745021,0.0706243,0.1443706,0.1717641,0.4525118,179.1344757,0.0041243,0.0812951,0.0745955,0.1865462,0.2043771,0.4525118,179.1344757,0.0029313
"61",4,306711.3207,4994489.9144,0.0693227,0.0413643,0.177649,0.2536011,0.7635643,178.6765594,0.0160609,0.047398,0.0250233,0.1529681,0.2820311,0.7635643,178.6765594,0.0036831
"62",1,306718.6257,4994507.7697,0.0830853,0.0481812,0.1773609,0.2356887,0.6969702,178.2045135,0.0034023,0.0827138,0.057144,0.1833446,0.2253931,0.6969702,178.2045135,0.0033845
"63",4,306825.247,4994504.0335,0.0444454,0.0300026,0.1493593,0.2674668,0.8034279,179.6442261,0.008171,0.048432,0.0283617,0.1356765,0.2315164,0.8034279,179.6442261,0.0124228
"64",4,306829.0138,4994501.2684,0.0689736,0.0415329,0.206185,0.2995831,0.7525818,179.6082916,0.0149139,0.0444014,0.025809,0.1217037,0.1954955,0.7525818,179.6082916,0.0087343
"65",3,307011.3642,4994495.8026,0.0696409,0.0558314,0.1170706,0.1770027,0.3877465,178.1662292,0.0092453,0.1469377,0.1458912,0.3826807,0.5343915,0.3877465,178.1662292,0.0328286
"66",3,306726.5508,4994500.7163,0.0465971,0.0332743,0.0499452,0.0798592,0.6383562,178.2679596,0.0075826,0.0804093,0.0576898,0.1734056,0.213378,0.6383562,178.2679596,0.0092799
"67",3,306652.1177,4994416.2846,0.0705948,0.0392496,0.134554,0.1783968,0.6263912,177.3925934,0.0044143,0.0820495,0.0467028,0.1954815,0.2229513,0.6263912,177.3925934,0.0108797
"68",4,306687.4351,4994470.2986,0.0526572,0.0321009,0.134356,0.1929224,0.7812728,178.4282074,0.0099634,0.0504092,0.0314833,0.1536088,0.2319177,0.7812728,178.4282074,0.009078
"70",3,306957.4895,4994504.71,0.0812516,0.0632212,0.194898,0.2347756,0.4732558,178.7549286,0.0021844,0.0756845,0.0623757,0.1713186,0.206039,0.4732558,178.7549286,0.0118543
"71",2,306715.9201,4994418.758,0.0981624,0.0832863,0.2001223,0.2364338,0.4889877,178.169281,0.0054281,0.0651306,0.0468595,0.167672,0.2069507,0.4889877,178.169281,0.0009621
"72",4,306736.8544,4994516.9049,0.0751351,0.0540211,0.2189581,0.3349429,0.7204059,178.7253571,0.0051479,0.0876817,0.0606862,0.2216748,0.3232308,0.7204059,178.7253571,0.005598
"73",2,306869.5253,4994443.6892,0.0863095,0.0769846,0.1807375,0.2141247,0.4664568,179.1144562,0,0.0293576,0.0152644,0.0446552,0.0509593,0.4664568,179.1144562,0.0167388
"74",2,306795.2971,4994446.1766,0.1093224,0.07448,0.207087,0.25707,0.4254836,179.06604,0.0028158,0.1047836,0.0871911,0.2372078,0.2813257,0.4254836,179.06604,0.0027108
"75",2,306887.1657,4994499.6239,0.1244722,0.1166977,0.3180895,0.3853672,0.5228899,178.9168243,0.0048184,0.1153486,0.0913769,0.2946542,0.3348046,0.5228899,178.9168243,0.0046771
